"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEL",9.27969055951695,-0.830044307618427,0.430387381171103,-1.92859815118148,0.0537807687487064,0.166047722481838
"RALGDS",322.815476711636,0.618638263208577,0.26538623648005,2.33108646256069,0.0197488009757695,0.0782443564048923
"GBGT1",10.7881930395789,0.000809603126705891,0.62861039231789,0.00128792513868665,0.998972384700465,0.999982221814558
"ABO",2.72450472071003,-0.21586155877569,1.98762114479328,-0.10860296960573,0.913517405284117,0.969196088271027
"SURF6",411.69909497467,-0.0466308640179294,0.239624241543917,-0.194599944135382,0.845706146794828,0.93653668138027
"MED22",275.002746410974,-0.134566294637974,0.264675427603812,-0.508420051896182,0.611158793382489,0.796563635091909
"RPL7A",10749.4494625329,-0.0834309730260151,0.214223515516385,-0.389457585106402,0.696937680940053,0.850255971818169
"SNORD24",2.14515433920975,-0.492175677967086,0.722868796030153,-0.680864467618486,0.495957253191886,0.713120116139673
"SNORD36B",1.34342506268355,1.13575567578739,1.70803888647195,0.664947200431346,0.506084264557262,0.721709255674193
"SNORD36A",33.5555594197747,0.626142983704652,0.28312201683934,2.2115658495749,0.0269966772521893,0.0989793170471649
"SNORD36C",5.97208093482543,0.955375110110115,0.521029277274433,1.83363037698725,0.0667088798698746,0.193424608354723
"SURF1",316.129126513031,-0.450870824022269,0.166514637639412,-2.70769483340337,0.00677522894841192,0.0345594546261472
"SURF2",84.1284254466085,-0.786997547446758,0.176933969044944,-4.44797317154428,8.66843533524033e-06,0.000170157769216532
"SURF4",2000.37488840508,-0.592650080471815,0.0624808199434896,-9.48531214871755,2.41658711805053e-21,3.75223481819706e-18
"REXO4",362.787344328876,-0.386159139353336,0.122499808404145,-3.15232443531127,0.00161976193231355,0.0115103174018456
"ADAMTS13",24.9939633073075,-0.00123925958219682,0.357734493600918,-0.00346418811818386,0.997235983313095,0.999982221814558
"CACFD1",157.290490755986,0.106462786780119,0.213048303344983,0.499711967232738,0.617277904754696,0.799839274566149
"SLC2A6",306.097983116946,-0.148043090335777,0.29423607131921,-0.503143920023213,0.614863089670452,0.798175670371466
"ADAMTSL2",0.47760041537103,-0.302811785708604,2.13484783215027,-0.141842327658363,0.887204549420338,NA
"DBH",0.125885875930339,0.211460393354393,3.00317535619469,0.0704122697724628,0.943865525622328,NA
"SARDH",0.895558778140272,-0.558319187946609,1.00449229973722,-0.555822267719395,0.57833236135375,0.774518421143667
"VAV2",401.232176087556,-0.186883413761581,0.127376231519404,-1.46717650170952,0.142328047463716,0.327882432191264
"BRD3",273.681999830892,0.050920203895681,0.255486224533032,0.199307042830787,0.842022570311599,0.934330340114929
"WDR5",390.527425696644,-0.206135769242709,0.176350425206953,-1.16889862329961,0.242444478262072,0.465377106437778
"RNU6ATAC",7.33686146348575,2.88028502329923,0.798155611312495,3.60867603068387,0.000307763653660309,0.00310100340712759
"RXRA",326.909237817884,-0.537179211852879,0.213687451412473,-2.51385473644861,0.011941961099075,0.0533852312215039
"COL5A1",1098.72014525492,0.915214009897918,1.16154577459554,0.787927630503068,0.430739038169916,0.65837061176421
"FCN1",0.213665862135358,-1.23121729834031,3.00317535619469,-0.409971830582805,0.68182661171531,NA
"OLFM1",51.0942069746473,-0.768699772432148,0.408549132236452,-1.88153568757859,0.059899085384139,0.179270065296748
"PPP1R26",327.408414234074,0.32470771038514,0.284124426807763,1.14283630602741,0.25310656173364,0.477345510025293
"C9orf116",20.6980387786983,-0.810779102256301,0.480041637173713,-1.68897662092362,0.0912239103412114,0.241405494782017
"MRPS2",538.584196977114,-0.478244656856645,0.157572206799152,-3.03508256037968,0.00240469850645252,0.0157277816805764
"LCN1",0.043271556385213,0.211459309031584,3.00317535619469,0.07041190871369,0.943865812992294,NA
"PAEP",1.20281901474811,1.61546830178591,1.01556065589788,1.59071572180752,0.111673567097421,0.277584235358303
"KCNT1",0.748910757456152,1.33228522791764,2.12138836391534,0.628025141732519,0.529987470031762,NA
